sentiment,text,user
"positive","RT @SportsCenter: The incredible reactions as Brandon Moreno became the first Mexican-born champion in UFC history 🇲🇽 https://t.co/HOmIqapM…","ILLADELL"
"neutral","RT @futureiIIusion: It's a sine ❤⚔ https://t.co/oSEMESQ4ei","22buyCHROMATICA"
"neutral","RT @dubelepz: กุตอนโดนลักพาตัว https://t.co/BB2OtOPbaX","EENNewli"
"neutral","RT @ALLICONICSPORTS: KKKstool Sports strikes again","desean_derek"
"neutral","@juliaaa15a Pq o Twitter me recomenda isso lek?","peixao_milgrau"
"neutral","RT @RagnarokMasters: #2周年RTCP  #ラグマス\n2周年を記念して「フォロー＆リツイートキャンペーン」を開催🎉\nラグマス公式twitterアカウントをフォロー👍＆CPハッシュタグが付いたリツイート📨で、Amazon ギフト券10,000円分🧧が当たるチャ…","yuyun_777"
"neutral","RT @yoo1000_0: 언데드 라빗츠 콜라보같아","ddungzzi_jjks"
"neutral","RT @_Boopathi_07: #வெள்ளாளர்_தனிமதம் https://t.co/twrMVMgzvd","143Jayavel"
"neutral","RT @straykidspyo: 📣Proyecto organizado por las fanbases hispanohablantes para Hyunjin.\n\n¿EN QUÉ CONSISTE? \n📍 Tagline /STRAY KIDS ALWAYS 8\n📩…","MileVillagra_"
"neutral","RT @rry10m: #فرجت\nاللهم يامخرج سيدنا يونس من بطن الحوت يسر امر من ساهم في سدادها بالقليل أو الكثير يارب أطل عمره وأصلح له النيه والذريه واج…","AmatAll64714152"
"neutral","RT @udonoodlez: CAN ANYBODY HEAR ME?????????????? https://t.co/gDXIoJNwAr","winniewastaken"
"neutral","RT @NampunllSprite: มาสุ่มปฏิทินมีม.. สมทบทุน28.07​บาทลุ้นสุ่มรับปฏิทินลิมิตเต็ดไปเลยจ้า​ ปิดให้ร่วม​กิจกรรม​ 23.59น.คืนนี้จ้า https://t.co…","Permkamol1"
"neutral","RT @lovewithBBH: น้ำตาแตก วันเกิดตัวเอง แต่พี่หมินขอให้พี่ชานไม่เจ็บไม่ป่วยจนกว่าจะออกมาจากกรม 😭😭 https://t.co/tvL9ZAMOUI","ptctne"
"positive","RT @cutest_ke: Guys how do u know she is a good rider? https://t.co/gxEvt3GDau","SaLeehMuhammed1"
"neutral","RT @SatishC19921514: #वादा_निभाओ_शिक्षामित्र_बचाओ\nWe want to justice https://t.co/rIAVjGL5uT","Shankar38282307"
"neutral","RT @pledis_17: SEVENTEEN 8th Mini Album 'Your Choice'\nOfficial Photo BESIDE Ver.\n#JEONGHAN #SEUNGKWAN #DK #DINO\n\n#SEVENTEEN #세븐틴\n#Your_Choi…","R9722396386"
"negative","Farmers in #Yinmarpin Tsp, Sagaing Division, staged a sesame harvest strike to overthrow the military dictatorship,… https://t.co/tcoxQWmSaV","takenbyCYN"
"positive","RT @UO3YbcMzmRSfGnA: #வெள்ளாளர்_தனிமதம்\nWe are not Hindus \nSeparate vellalars from hindu \nWe are the real Vellalars.... https://t.co/hWHD39…","EAMOEXqc6u9Rs9u"
"neutral","RT @kimetsu_off: 【あと3日】\n『劇場版「鬼滅の刃」無限列車編』のBlu-ray＆DVD発売を記念したカウントダウン。\n\n発売当日まで紡がれる全38日間。お楽しみいただけますと嬉しく思います。\n\nhttps://t.co/DAjvqcFjKT\n#鬼滅の刃 htt…","BLUE20210602"
"negative","RT @wonderofscience: Saturn's icy moon Enceladus captured by the Cassini spacecraft. The moon's surface is covered with fractures, folds, a…","miss_sarahbb"
"positive","And here’s some more local news on power reconnections. https://t.co/l5VjYsm1ku","MaryAnneThomas"
"neutral","RT @Sachinbjpp: जय श्री महाकाल🚩🚩 https://t.co/rLiwiyZwOa","Sachinbjpp"
